Bioactive Compounds,SIMILE Code Link,SMILES,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,QED_Score,Pass_MW,Pass_LogP,Pass_HBD,Pass_HBA,Lipinski_Rules_Passed
Allicin,https://pubchem.ncbi.nlm.nih.gov/compound/65036,C=CCSS(=O)CC=C,162.27899999999997,1.7553,0,2,17.07,5,0.45238899922350456,True,True,True,True,4
Alliin,https://pubchem.ncbi.nlm.nih.gov/compound/9576089,C=CCS(=O)CC(C(=O)O)N,177.22499999999997,-0.6669999999999991,2,3,80.39,5,0.5458370887986503,True,True,True,True,4
Andrographolide,https://pubchem.ncbi.nlm.nih.gov/compound/5318517,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,350.45500000000004,1.9626000000000001,3,5,86.99000000000001,3,0.4114507349016967,True,True,True,True,4
Neoandrographolide,https://pubchem.ncbi.nlm.nih.gov/compound/9848024,CC1(CCCC2(C1CCC(=C)C2CCC3=CCOC3=O)C)COC4C(C(C(C(O4)CO)O)O)O,480.5980000000002,1.845200000000001,4,8,125.68000000000002,7,0.3213463977796831,True,True,True,True,4
Ferulic acid,https://pubchem.ncbi.nlm.nih.gov/compound/445858,COC1=C(C=CC(=C1)C=CC(=O)O)O,194.18599999999998,1.4986,2,3,66.76,3,0.715320210715463,True,True,True,True,4
Artemisinic acid,https://pubchem.ncbi.nlm.nih.gov/compound/10922465,CC1CCC(C2C1CCC(=C2)C)C(=C)C(=O)O,234.33899999999997,3.645800000000002,1,1,37.3,2,0.5847020496229239,True,True,True,True,4
Cannabidiol,https://pubchem.ncbi.nlm.nih.gov/compound/644019,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,314.46900000000005,5.846500000000007,2,2,40.46,6,0.5107748679217476,True,False,True,True,3
CBDA-O-methyl ester,https://pubchem.ncbi.nlm.nih.gov/compound/11132454,CCCCCC1=CC(=C(C(=C1C(=O)OC)O)C2C=C(CCC2C(=C)C)C)O,372.5050000000002,5.633100000000007,2,4,66.76,7,0.3695243228964065,True,False,True,True,3
Tetrahydrocannabinolic acid,https://pubchem.ncbi.nlm.nih.gov/compound/3082459,CCCCCC1=CC(=C2C3C=C(C=CC3C(OC2(C1)C(=O)O)(C)C)C)O,358.4780000000001,5.089600000000004,2,3,66.76,5,0.6718746313689528,True,False,True,True,3
Capsanthin,https://pubchem.ncbi.nlm.nih.gov/compound/5281228,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)C2(CC(CC2(C)C)O)C)C)C,584.8850000000003,9.806299999999997,2,3,57.53,11,0.1876815820421996,False,False,True,True,2
Capsaicin,https://pubchem.ncbi.nlm.nih.gov/compound/1548943,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,305.41800000000006,3.789600000000002,2,3,58.56,9,0.5388605597174689,True,True,True,True,4
Hydroxysafflor yellow A,https://pubchem.ncbi.nlm.nih.gov/compound/49798103,C1=CC(=CC=C1C=CC(=C2C(=C(C(=O)C(C2=O)(C3C(C(C(C(O3)CO)O)O)O)O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,612.5370000000005,-4.402699999999994,12,16,295.35999999999996,6,0.08197381813235688,False,True,False,False,1
Asiatic acid,https://pubchem.ncbi.nlm.nih.gov/compound/119034,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O,488.70900000000023,5.032700000000005,4,4,97.99,2,0.4086913598374133,True,False,True,True,3
DPHD,https://pubchem.ncbi.nlm.nih.gov/compound/44560847,C1=CC=C(C=C1)CCC(C=CC=CC2=CC=CC=C2)O,264.368,4.249700000000005,1,1,20.23,6,0.773285808676253,True,True,True,True,4
Bisacurone,https://pubchem.ncbi.nlm.nih.gov/compound/14287397,CC(CC(=O)C=C(C)C)C1CC(C(C=C1)(C)O)O,252.35399999999998,2.235900000000001,2,3,57.53,4,0.5956730385352066,True,True,True,True,4
Curcumin,https://pubchem.ncbi.nlm.nih.gov/compound/969516,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,368.38500000000005,3.3699000000000026,2,6,93.06000000000002,8,0.5481228320623275,True,True,True,True,4
Kaempferol,https://pubchem.ncbi.nlm.nih.gov/compound/5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.239,2.282400000000001,4,6,111.13000000000001,1,0.5458513994143424,True,True,True,True,4
Quercetin,https://pubchem.ncbi.nlm.nih.gov/compound/5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.9880000000000009,5,7,131.36,1,0.43419044029909815,True,True,True,True,4
Naringenin,https://pubchem.ncbi.nlm.nih.gov/compound/439246,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.256,2.5099000000000022,3,5,86.99000000000001,1,0.7421139126791213,True,True,True,True,4
Baicalein,https://pubchem.ncbi.nlm.nih.gov/compound/5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.23999999999995,2.576800000000001,3,5,90.9,1,0.5910546660911951,True,True,True,True,4
Gypensapogenin A,https://pubchem.ncbi.nlm.nih.gov/compound/57403926,CC(=C1CC=C(C1=O)C2CCC3(C2CCC4C3(CCC5=C4C6CCC(C5(C)C)O6)C)C)C,434.6640000000002,7.348600000000008,0,2,26.3,1,0.31845720992086873,True,False,True,True,3
Delphinidin-3-sambubioside,https://pubchem.ncbi.nlm.nih.gov/compound/10196837,C1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C(=C5)O)O)O)O)O)CO)O)O)O)O)O,597.5020000000006,-1.4491000000000003,11,15,270.74999999999994,6,0.11454988290956389,False,True,False,False,1
Delphinidin-3-O-glucoside,https://pubchem.ncbi.nlm.nih.gov/compound/165558,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O.[Cl-],500.84000000000015,-2.908399999999998,9,11,211.82999999999996,4,0.13023618760473227,False,True,False,False,1
