Specific Name,Bioactive Compound,Group
Allium sativum L.,Allicin,Organosulfur compound
Allium sativum L.,Alliin,Organosulfur compound
Allium sativum L.,Diallyl sulfide,Organosulfur compound
Allium sativum L.,Diallyl disulfide,Organosulfur compound
Allium sativum L.,Diallyl trisulfide,Organosulfur compound
Allium sativum L.,Ajoene,Organosulfur compound
Allium sativum L.,S-allyl-cysteine,Organosulfur compound
Andrographis paniculata,Andrographolide,Diterpenoid
Andrographis paniculata,Neoandrographolide,Diterpenoid
Andrographis paniculata,14-deoxyandrographolide,Diterpenoid
Andrographis paniculata,"14-deoxy-11, 12-didehydroandrographolide",Diterpenoid
Angelica sinensis,Phthalides,Phthalide
Angelica sinensis,Ferulic acid,Phenolic acid
Artemisia annua,Artemisinin,Sesquiterpenoid
Artemisia annua,Artemisinic acid,Sesquiterpenoid
Cannabis sativa,Tetrahydrocannabivarin,Cannabinoid
Cannabis sativa,Tetrahydrocannabinol,Cannabinoid
Cannabis sativa,Cannabidiol,Cannabinoid
Cannabis sativa,CBDA-O-methyl ester,Cannabinoid
Cannabis sativa,Tetrahydrocannabinolic acid,Cannabinoid
Capsicum annuum,Carotenoids,Carotenoid
Capsicum annuum,Polyphenols,Polyphenols
Capsicum annuum,Capsaicinoids,Alkaloid
Capsicum annuum,Capsanthin,Alkaloid
Capsicum oleoresin,Capsaicin,Alkaloid
Carthamus tinctorius,Safflomegastigside,Glycosides
Carthamus tinctorius,Safﬂoamide,Phenolic amides
Carthamus tinctorius,Hydroxysafflor yellow A,Flavonoid
Centella asiatica,Madecassoside,Triterpenoid
Centella asiatica,Asiaticoside,Triterpenoid
Centella asiatica,Madecassic acid,Triterpenoid
Centella asiatica,Asiatic acid,Triterpenoid
Curcuma comosa,"ASPP 092 [(3S)-1-(3,4-dihydroxy-phenyl)-7phenyl-(6E)-6-hepten-3-ol]",Diarylheptanoid
Curcuma comosa,DPHD,Diarylheptanoid
Curcuma longa,Curcumin,Curcuminoids (polyphenol)
Curcuma longa,Curcuminoid,Curcuminoids (polyphenol)
Curcuma longa,Demethoxycurcumin,Curcuminoids (polyphenol)
Curcuma longa,Bisacurone,sesquiterpenoid
Curcuma longa,Bisdemethoxycurcumin,Curcuminoids (polyphenol)
Ficus racemosa,Lupeol,Triterpenoid
Ficus racemosa,Kaempferol,Flavonoid
Ficus racemosa,Quercertin,Flavonoid
Ficus racemosa,Naringenin,Flavonoid
Ficus racemosa,Baicalein,Flavonoid
Gynostemma pentaphyllum,Neutral polysaccharide fraction (CGPP),Polysaccharide
Gynostemma pentaphyllum,Gypensapogenin A,Triterpenoid Saponin
Hibiscus sabdariffa,n-hexadecanoic acid,Fatty acid
Hibiscus sabdariffa,Delphinidin-3-sambubioside,Anthocyanin
Hibiscus sabdariffa,Delphinidin-3-O-glucoside,Anthocyanin
Morus alba,Chlorogenic acid,Phenolic acid
Morus alba,Neochlorogenic acid,Phenolic acid
Morus alba,Cryptochlorogenic acid,Phenolic acid
Morus alba,Mulberroside A,Stilbenoid
Morus alba,Oxyresveratrol,Stilbenoid
Myristica fragrans,Macelignan,Lignan
Myristica fragrans,Meso-dihydroguaiaretic acid,Lignan
Nelumbo nucifera,Quercetin,Flavonoid
Nelumbo nucifera,Nuciferine,Alkaloid
Nigella sativa,Thymoquinone,Monoterpene
Nigella sativa,Thymol,Monoterpene
Nigella sativa,α hederin,Triterpenoid Saponin
Piper betle,Quercetin,Flavonoid
Piper betle,Eugenol,Phenylpropanoid
Piper betle,Hydroxychavicol,Phenylpropanoid
Piper betle,Chavibetol,Phenylpropanoid
Piper nigrum,Piperine,Alkaloid
Piper nigrum,Pipernigramide E,Alkaloid
Piper nigrum,Pipernigramide F,Alkaloid
Piper nigrum,Pipernigramide G,Alkaloid
Pterocarpus santalinus,Savinin,Lignan
Pterocarpus santalinus,Santalin A,Anthraquinone
Pterocarpus santalinus,Santalin B,Anthraquinone
Pterocarpus santalinus,Calocedrin,Lignan
Pterocarpus santalinus,Pterolinus K,Flavonoid
Pterocarpus santalinus,Pterolinus L,Flavonoid
Pterocarpus santalinus,Pterostilbenes,Stilbenoid
Pterocarpus santalinus,Lupeol,Triterpenoid
Rhinacanthus nasutus,Rhinacanthin-C,Naphthoquinone
Rhinacanthus nasutus,Rhinacanthin-D,Naphthoquinone
Rhinacanthus nasutus,Rhinacanthin-N,Naphthoquinone
Rhinacanthus nasutus,Rhinacanthin derivatives,Naphthoquinone
Syzygium aromaticum,Eugenol,Phenylpropanoid
Syzygium aromaticum,Caryophyllene,Sesquiterpenoid
Zingiber officinale,12-dehydrogingerdione (12-DHGD),Phenolic compound
Zingiber officinale, 6-gingerol,Phenolic compound
Zingiber officinale,10-Dehydrogingerdione,Phenolic compound
Zingiber officinale,ZT-dial,Labdane Diterpenoid
Zingiber zerumbet,Zerumbone,Sesquiterpenoid
