Specific Name,Family,Parts of Use
Allium sativum L.,Amaryllidaceae,Bulb
Andrographis paniculata,Acanthaceae,Aerial part
Angelica sinensis,Umbelliferae,Lateral root
Artemisia annua,Compositae,Aerial part
Cannabis sativa,Cannabaceae,"Flower, Leaf"
Capsicum annuum,Solanaceae,Red mature fruit
Capsicum oleoresin,Solanaceae,N/A
Carthamus tinctorius,compositae,Florets
Centella asiatica,Umbelliferae,Aerial part
Curcuma comosa,Zingiberaceae,Rhizome
Curcuma longa,Zingiberaceae,Rhizome
Ficus racemosa,Moraceae,Root
Gynostemma pentaphyllum,Cucurbitaceae,Aerial part
Hibiscus sabdariffa,Malvaceae,Persistent calyxes and epicalyxes
Morus alba,Moraceae,Leaf
Myristica fragrans,Myristicaceae,"Aril of the fruit, Ripe seed"
Nelumbo nucifera,Nelumbonaceae,Stamen
Nigella sativa,Ranunculaceae,Ripe seed
Piper betle,Piperaceae,Leaf
Piper nigrum,Piperaceae,"Green mature fruit, Ripe fruit deprived of outer part of the pericarp"
Pterocarpus santalinus,Fabaceae,Heartwood
Rhinacanthus nasutus,Acanthaceae,Root
Syzygium aromaticum,Myrtaceae,Mature flowering bud
Zingiber officinale,Zingiberaceae,Rhizome
Zingiber zerumbet,Zingiberaceae,Rhizome
